nome_cliente;linhas;receita;custo;vertical_atual;bu_correta
Eversendai;2;248160.0;0.0;FC UK;
Track&Field;3;231640.93;0.0;;
FUN BRANDS LLC;3;210298.39;0.0;;
Nita;4;199164.28;0.0;;
Energisa RFP;3;191499.0;0.0;DISTRITO;
Startup Portugal;2;100530.0;0.0;BETA-I;
T&F;3;64588.72;0.0;;
Energisa;3;34857.12;0.0;;
IQVIA - FL 01;1;27065.48;0.0;Others;
Departamento Pessoal;1;0.0;-5874.24;;
DIVERSOS;1;0.0;-2667.0;Backoffice;
DISTRITO TECNOLOGIA E SERVICOS S.A.;59;0.0;-445374.57;;
COMERCIAL;2;0.0;-39948.38;;
ASSOCIACAO PARANAENSE DE CULTURA - APC;3;0.0;-2487.4;Others;
Contabilidade;1;0.0;-24145.11;;
FCAMARA UK LIMITED;6;0.0;-41604.43;FC UK;
