periodo,fonte,empresa,vertical,agrupador,valor,profit_center,tipo_financeiro,moeda,stream,ano
2024-01,Nexus,Dojo,Others,Consulting expenses,-16465.75,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,Dojo,Others,Deductions and taxes,-8964.77,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,Dojo,Others,Depreciation and amortization expenses,-521.11,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,Dojo,Others,Financial Income,420.55,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,Dojo,Others,Financial expenses,-15183.57,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,Dojo,Others,Gross revenue,379758.74,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,Dojo,Others,Travel expenses,-7461.32,,Actual,BRL,Data & AI (Dojo),2024
2024-01,Nexus,FC Europe,Others,Consulting expenses,-29508.0,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,General and administrative expenses,-2967.51,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Gross revenue,722670.3013420799,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Marketing and selling expenses,-16360.0,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Occupancy expenses,-3451.0,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Other operating income (expenses) net,-21691.34523488,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Payroll expenses,-161290.6132728,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Third-party costs,-460795.52369856,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Third-party expenses,-11302.21620016,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Travel expenses,-6035.3,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,,-48680.0,,Actual,BRL,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Consulting expenses,-5519.992,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,General and administrative expenses,-555.0197000000001,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Gross revenue,134905.68,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Marketing and selling expenses,-3060.0,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Occupancy expenses,-645.4549999999999,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Other operating income (expenses) net,-4061.94,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Payroll expenses,-30110.9,,Actual,EUR,FC Europe,2024
2024-01,Nexus,FC Europe,Others,Third-party costs,-86020.19,,Actual,EUR,FC Europe,2024
