periodo,pep,nome_cliente,empresa,centro_lucro,no_hierarquia,categoria_bu,receita,custo_rateado,horas_total,margem,margem_pct
2025-10,AFYA - MS Data & AI,AFYA PARTICIPAÇÕES S.A,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,AFYA - MS Infra,AFYA PARTICIPAÇÕES S.A,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,ARG - MS Infra,GRUPO ARG,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,Ab Brasil - MS Infra,AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,Aethra - MS Infra,AETHRA SISTEMAS AUTOMOTIVOS SA,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,Aguia Branca - MS Digi&Apps,AGUIA BRANCA PARTICIPACOES,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,Ambipar - MS Security,AMBIPAR,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,Ambipar - SOC,AMBIPAR,SGA,,,Vazio,0.0,0.0,0.0,0.0,
2025-10,BR02CLP0000200,NEWLUXE GROUP BRASIL COMERCIO E IMPORTAC,FCamara,DC004 (E-commerce),ECOMM,Demais,0.01,0.0,0.0,0.01,1.0
2025-10,BR02CLP00003,COOP - COOPERATIVA DE CONSUMO,FCamara,DC002 (Dedicated Teams),SQUAD_DT,Apps,127655.5699999999,-84841.41,943.59,42814.1599999999,0.33538810723260987
2025-10,BR02CLP00004,TRAVELEX BANCO DE CAMBIO S.A.,FCamara,DC002 (Dedicated Teams),SQUAD_DT,Apps,436774.0099999992,-257019.83682677944,2144.0,179754.17317321975,0.4115496093121935
2025-10,BR02CLP00005,BANCO ABC BRASIL S.A.,FCamara,DC002 (Dedicated Teams),SQUAD_DT,Apps,324222.13,-229763.6074556778,2057.0,94458.52254432222,0.291338911826661
2025-10,BR02CLP00006,BANCO C6 S.A.,FCamara,DC002 (Dedicated Teams),SQUAD_DT,Apps,1058668.0600000008,-562943.5115969788,27365.05,495724.548403022,0.4682530503499101
2025-10,BR02CLP00007,BANCO DIGIO S.A.,FCamara,DC002 (Dedicated Teams),SQUAD_DT,Apps,87605.33999999998,-40850.87632447883,376.0,46754.463675521154,0.5336942208719373
2025-10,BR02CLP00008,Yelum Seguros SA,FCamara,DC005 (Open-X),OPENX,Apps,35623.14,-42384.239126927496,0.0,-6761.099126927496,-0.1897951479551633
2025-10,BR02CLP000092,BULLLA INSTITUICAO DE PAGAMENTO S.A.,FCamara,DC002 (Dedicated Teams),SQUAD_DT,Apps,130145.71999999986,-87826.1940279512,848.0,42319.52597204865,0.3251703242492239
2025-10,BR02CLP000100,INTELIPOST CONSULTORIA E TECNOLOGIA,BR02,DC001 (Squads),SQUAD_DT,Apps,92110.81,0.0,0.0,92110.81,1.0
2025-10,BR02CLP000101,AMBIPAR PARTICIPACOES E EMPREENDIME,BR02,DC001 (Squads),SQUAD_DT,Apps,109520.6,0.0,0.0,109520.6,1.0
2025-10,BR02CLP000110,MRS LOGISTICA S/A,BR02,DC002 (Dedicated Teams),SQUAD_DT,Apps,250603.15,0.0,0.0,250603.15,1.0
