[Tipo],[Moeda],[Empresa],[Vertical],[Stream],Agrupador,Periodo,Ano,[Valor]
Actual,BLR,FC Hyper,Logistics,NextGen Services,Payroll costs,2025-08,2025,-18703.57
Actual,BLR,FCamara,Logistics,NextGen Services,Payroll costs,2025-08,2025,100507.84999999999
Actual,BRL,Distrito,Others,Innovation (Distrito),Consulting expenses,2025-01,2025,-499.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Consulting expenses,2025-05,2025,-998.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Consulting expenses,2025-06,2025,-998.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-01,2025,-115682.85
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-02,2025,-122127.36
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-03,2025,-137380.16
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-04,2025,-115646.79999999999
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-05,2025,-117452.20999999996
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-06,2025,-137476.29000000004
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-01,2025,-85200.2
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-02,2025,-94454.39000000001
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-03,2025,-88395.68999999993
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-04,2025,-154314.0399999999
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-05,2025,-117977.61000000002
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-06,2025,-143407.94999999995
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-01,2025,1495749.06
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-02,2025,1646054.12
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-03,2025,1663647.06
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-04,2025,1404317.9900000002
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-05,2025,1742913.6400000001
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-06,2025,1761320.2299999997
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-01,2025,-59223.39
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-02,2025,-83940.52
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-03,2025,-115623.68
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-04,2025,-159503.97
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-05,2025,-122416.30999999997
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-06,2025,-176197.45
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-01,2025,-116784.3
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-02,2025,-119727.49999999999
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-03,2025,-137589.47000000003
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-04,2025,-135251.01999999996
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-05,2025,-143072.98000000004
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-06,2025,-135064.69999999995
Actual,BRL,Distrito,Others,Innovation (Distrito),Payroll costs,2025-01,2025,-306803.68
Actual,BRL,Distrito,Others,Innovation (Distrito),Payroll costs,2025-02,2025,-440107.91
Actual,BRL,Distrito,Others,Innovation (Distrito),Payroll costs,2025-03,2025,-349248.81999999995
Actual,BRL,Distrito,Others,Innovation (Distrito),Payroll costs,2025-04,2025,-338210.42999999993
Actual,BRL,Distrito,Others,Innovation (Distrito),Payroll costs,2025-05,2025,-368773.1200000001
