[Tipo],[Moeda],[Empresa],[Vertical],[Stream],Agrupador,Periodo,Ano,[Valor]
Actual,BLR,FC Hyper,Logistics,NextGen Services,Payroll costs,2025-08,2025,0.0
Actual,BLR,FCamara,Logistics,NextGen Services,Payroll costs,2025-08,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Consulting expenses,2025-01,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Consulting expenses,2025-05,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Consulting expenses,2025-06,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-01,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-02,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-03,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-04,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-05,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Deductions and taxes,2025-06,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-01,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-02,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-03,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-04,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-05,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),General and administrative expenses,2025-06,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-01,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-02,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-03,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-04,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-05,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Gross revenue,2025-06,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-01,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-02,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-03,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-04,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-05,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Marketing and selling expenses,2025-06,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-01,2025,0.0
Actual,BRL,Distrito,Others,Innovation (Distrito),Other costs,2025-02,2025,0.0
