empresa,agrupador_fpa,FiscalYear,FiscalPeriod,AmountInCompanyCodeCurrency
FCamara,Commission expenses,2025,7,4959.13
FCamara,Commission expenses,2025,8,6423.6900000000005
FCamara,Commission expenses,2025,9,6447.69
FCamara,Commission expenses,2025,10,3832.41
FCamara,Commission expenses,2025,11,11163.9
FCamara,Commission expenses,2025,12,17600.0
FCamara,Consulting expenses,2025,7,282752.27
FCamara,Consulting expenses,2025,8,957428.41
FCamara,Consulting expenses,2025,9,1362781.0899999999
FCamara,Consulting expenses,2025,10,802466.37
FCamara,Consulting expenses,2025,11,1294876.34
FCamara,Consulting expenses,2025,12,753549.08
FCamara,Depreciation and amortization,2025,7,1134792.94
FCamara,Depreciation and amortization,2025,8,2121216.04
FCamara,Depreciation and amortization,2025,9,1270054.95
FCamara,Depreciation and amortization,2025,10,1271818.93
FCamara,Depreciation and amortization,2025,11,1271271.4100000001
FCamara,Depreciation and amortization,2025,12,1726718.45
FCamara,Financial income (expenses) net,2025,7,3799876.6499999994
FCamara,Financial income (expenses) net,2025,8,2790205.12
FCamara,Financial income (expenses) net,2025,9,5469668.18
FCamara,Financial income (expenses) net,2025,10,4669007.01
FCamara,Financial income (expenses) net,2025,11,4078059.35
FCamara,Financial income (expenses) net,2025,12,4580770.56
FCamara,General and administrative expenses,2025,7,1464526.69
FCamara,General and administrative expenses,2025,8,1191804.11
FCamara,General and administrative expenses,2025,9,1217343.27
FCamara,General and administrative expenses,2025,10,1313420.72
FCamara,General and administrative expenses,2025,11,2630992.26
FCamara,General and administrative expenses,2025,12,2227098.15
FCamara,Income Taxes,2025,7,537.0
FCamara,Income Taxes,2025,12,64898.08
FCamara,Licenses and infrastructure costs,2025,7,1286412.54
FCamara,Licenses and infrastructure costs,2025,8,-101184.84000000003
FCamara,Licenses and infrastructure costs,2025,9,1558959.99
FCamara,Licenses and infrastructure costs,2025,10,931933.0599999999
FCamara,Licenses and infrastructure costs,2025,11,1069374.4700000002
FCamara,Licenses and infrastructure costs,2025,12,1137159.72
FCamara,Marketing and selling expenses,2025,7,210843.21
FCamara,Marketing and selling expenses,2025,8,56950.52
FCamara,Marketing and selling expenses,2025,9,47385.11
FCamara,Marketing and selling expenses,2025,10,111644.6
FCamara,Marketing and selling expenses,2025,11,175028.15
FCamara,Marketing and selling expenses,2025,12,109319.3
FCamara,Net Revenue,2025,7,-20463628.019999895
FCamara,Net Revenue,2025,8,-20159996.08
FCamara,Net Revenue,2025,9,-20340941.009999998
FCamara,Net Revenue,2025,10,-18797302.28
FCamara,Net Revenue,2025,11,-19051821.79
FCamara,Net Revenue,2025,12,-21902363.18
FCamara,Non-operating income (expenses) net,2025,7,-452769.45999999973
FCamara,Non-operating income (expenses) net,2025,8,333753.85
FCamara,Non-operating income (expenses) net,2025,9,1880885.0999999999
FCamara,Non-operating income (expenses) net,2025,10,1960029.9499999997
FCamara,Non-operating income (expenses) net,2025,11,5457600.05
FCamara,Non-operating income (expenses) net,2025,12,-76540.42999999967
FCamara,NÃO CLASSIFICADO,2025,7,178443.67999999988
FCamara,NÃO CLASSIFICADO,2025,8,-59918.31000000001
FCamara,NÃO CLASSIFICADO,2025,9,-505076.05
FCamara,NÃO CLASSIFICADO,2025,10,793886.7899999999
FCamara,NÃO CLASSIFICADO,2025,11,100797.82000000004
FCamara,NÃO CLASSIFICADO,2025,12,-2736754.31
FCamara,Occupancy expenses,2025,7,78288.76000000001
FCamara,Occupancy expenses,2025,8,134255.44
FCamara,Occupancy expenses,2025,9,243145.39
FCamara,Occupancy expenses,2025,10,197391.59999999998
