periodo,empresa,pep,nome_cliente,tipos,centro_lucro,no_hierarquia,categoria_bu,receita,custo_rateado,horas
2025-09,FCamara,BR02CLP000110,MRS,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,289489.41,-202312.4,0.0
2025-09,FCamara,BR02CLP000114,ANGLO AMERICAN,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,1264139.19,-831570.62,0.0
2025-09,FCamara,BR02CLP00028,Nagem,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,201296.43,-142108.32,0.0
2025-09,FCamara,BR02CLP00029,DIRECIONAL,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,43398.18,-29240.0,0.0
2025-09,FCamara,BR02CLP00030,MRV,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,3262070.55,-2224607.29,0.0
2025-09,FCamara,BR02CLP00032,RUMO,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,712511.39,-508650.4,0.0
2025-09,FCamara,BR02CLP00033,UNIMED CURITIBA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,208382.22,-136694.19,0.0
2025-09,FCamara,BR02CLP00035,KLABIN,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,1305793.22,-664445.62,0.0
2025-09,FCamara,BR02CLP00036,CBMM,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,249678.59,-122970.0,0.0
2025-09,FCamara,BR02CLP00037,SADA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,175703.83,-124380.16,0.0
2025-09,FCamara,BR02CLP00045,BANCO INTER,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,1629860.49,-983263.52,0.0
2025-09,FCamara,BR02CLP00048,JEITTO,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,52252.75,-35640.0,0.0
2025-09,FCamara,BR02CLP00051,UNIMED BH,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,341981.4,-229810.0,0.0
2025-09,FCamara,BR02CLP00053,VLI,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,540147.39,-392137.51,0.0
2025-09,FCamara,BR02CLP00056,POLIEDRO,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,636115.65,-403405.85,0.0
2025-09,FCamara,BR02CLP00106,CCPR,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,582650.28,-391803.23,0.0
2025-09,FCamara,BR02CLP00108,BBCE,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,39695.94,-27832.45,0.0
2025-09,FCamara,BR02CLP00136,LOJA ELETRICA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,64994.7,-35552.0,0.0
2025-10,FCamara,BR02CLP0000200,NEWLUXE GROUP BRASIL COMERCIO E IMP,WIP,,,,0.01,,
2025-10,FCamara,BR02CLP000092,BULLLA INSTITUICAO DE PAGAMENTO S.A,Taxa hora - Time and Expenses,,,,130145.71999999986,,
2025-10,FCamara,BR02CLP000100,INTELIPOST CONSULTORIA E TECNOLOGIA,Fee,DC001 (Squads),SQUAD_DT,Apps,92110.81,0.0,0.0
2025-10,FCamara,BR02CLP000101,AMBIPAR PARTICIPACOES E EMPREENDIME,Fee,DC001 (Squads),SQUAD_DT,Apps,109520.6,0.0,0.0
2025-10,FCamara,BR02CLP000110,MRS LOGISTICA S/A,"Fee,Taxa hora - Time and Expenses",DC002 (Dedicated Teams),SQUAD_DT,Apps,250603.15,0.0,0.0
2025-10,FCamara,BR02CLP000114,ANGLO AMERICAN INVESTIMENTOS - MINE,Fee,DC002 (Dedicated Teams),SQUAD_DT,Apps,13345.28,0.0,0.0
2025-10,FCamara,BR02CLP000125,LOJAS RENNER S.A.,WIP,DC002 (Dedicated Teams),SQUAD_DT,Apps,131319.86,0.0,0.0
2025-10,FCamara,BR02CLP000140,INTELIPOST CONSULTORIA E TECNOLOGIA,WIP,DC001 (Squads),SQUAD_DT,Apps,9798.28,0.0,0.0
2025-10,FCamara,BR02CLP000141,SOCIEDADE REGIONAL DE ENSINO E SAUD,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,383795.41,0.0,0.0
2025-10,FCamara,BR02CLP000144,SORTENABET GAMING BRASIL SA,Taxa hora - Time and Expenses,DC013 (Data Consult (Dojo)),DATA,Dados,5043.12,0.0,0.0
2025-10,FCamara,BR02CLP000149,QUIMICA AMPARO LTDA,Fee,DC013 (Data Consult (Dojo)),DATA,Dados,92749.13,0.0,0.0
2025-10,FCamara,BR02CLP000190,MM SP DISTRIBUIDORA E COMERCIO ATAC,WIP,,,,3902.38,,
2025-10,FCamara,BR02CLP00028,CIL - COMERCIO DE INFORMATICA LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,69797.79999999993,0.0,0.0
2025-10,FCamara,BR02CLP000301,DISTRITO TECNOLOGIA E SERVICOS S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,310011.03,0.0,0.0
2025-10,FCamara,BR02CLP000303,PICPAY INSTITUIÇÃO DE PAGAMENTO S.A,Fee,DC023 (Marketplace),MKTPLACE,Vazio,121952.25,0.0,0.0
2025-10,FCamara,BR02CLP000310,DISTRITO TECNOLOGIA E SERVICOS S.A.,Taxa hora - Time and Expenses,DC037 (Business Unit),BU,Vazio,18690.0,0.0,0.0
2025-10,FCamara,BR02CLP000311,Falconi Consultores S.A.,Taxa hora - Time and Expenses,DC037 (Business Unit),BU,Vazio,6541.5,0.0,0.0
2025-10,FCamara,BR02CLP000345,BANCO OURINVEST S/A,Fee,DC037 (Business Unit),BU,Vazio,72891.0,0.0,0.0
2025-10,FCamara,BR02CLP00035,KLABIN S.A.,WIP,DC002 (Dedicated Teams),SQUAD_DT,Apps,-280905.72,0.0,0.0
2025-10,FCamara,BR02CLP00037,SADA TRANSPORTES E ARMAZENAGENS LTD,Taxa hora - Time and Expenses,,,,40971.590000000026,,
2025-10,FCamara,BR02CLP00039,RAIA DROGASIL S/A - 0001-51,Taxa hora - Time and Expenses,,,,1296457.3100000103,,
2025-10,FCamara,BR02CLP00040,FARFETCH.COM BRASIL SERVICOS LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,29132.85,0.0,0.0
2025-10,FCamara,BR02CLP00044,DIAGNOSTICOS DA AMERICA S.A .,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,21194.46,0.0,0.0
2025-10,FCamara,BR02CLP00050,DIAGNOSTICOS DA AMERICA S.A .,WIP,DC001 (Squads),SQUAD_DT,Apps,-153436.56000000006,0.0,0.0
2025-10,FCamara,BR02CLP00051,UNIMED BELO HORIZONTE COOPERATIVA D,Taxa hora - Time and Expenses,,,,110202.90000000002,,
2025-10,FCamara,BR02CLP00052,OBVIO BRASIL SOFTWARE E SERVICOS LT,Taxa hora - Time and Expenses,DC004 (E-commerce),ECOMM,Demais,60113.02000000001,0.0,0.0
2025-10,FCamara,BR02CLP00053,VLI MULTIMODAL S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,181270.16,0.0,0.0
2025-10,FCamara,BR02CLP000567,DISTRITO TECNOLOGIA E SERVICOS S.A.,Taxa hora - Time and Expenses,DC029 (FC Consult. New Rev),INNOVATION,Demais,42098.48,0.0,0.0
2025-10,FCamara,BR02CLP000600,BLESSTRADE COMERCIO IMPORTACAO E EX,Taxa hora - Time and Expenses,DC037 (Business Unit),BU,Vazio,16513.18,0.0,0.0
2025-10,FCamara,BR02CLP00065,FUN BRANDS LLC,Fee,DC029 (FC Consult. New Rev),INNOVATION,Demais,46619.15999999997,0.0,0.0
2025-10,FCamara,BR02CLP00073,GRANI AMICI INDUSTRIA E COMERCIO DE,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,86159.26000000001,0.0,0.0
2025-10,FCamara,BR02CLP00077,COBASI COMERCIO DE PROD BASICOS E I,Taxa hora - Time and Expenses,DC004 (E-commerce),ECOMM,Demais,43663.72999999998,0.0,0.0
2025-10,FCamara,BR02CLP00086,QUANTITY SERVICOS E COMERCIO DE PRO,Taxa hora - Time and Expenses,DC004 (E-commerce),ECOMM,Demais,1162.0199999997858,0.0,0.0
2025-10,FCamara,BR02CLP00092,ASIA SHIPPING TRANSPORTES INTERNACI,Fee,DC001 (Squads),SQUAD_DT,Apps,43921.5,0.0,0.0
2025-10,FCamara,BR02CLP00095,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,81675.6,0.0,0.0
2025-10,FCamara,BR02CLP00102,LOJAS RIACHUELO SA,"Fee,WIP",DC008 (Hyperautomation),HYPER,Hyper,46640.14,0.0,0.0
2025-10,FCamara,BR02CLP00105,BETA-I COLLABORATIVE INNOVATION,WIP,DC029 (FC Consult. New Rev),INNOVATION,Demais,-294731.03,0.0,0.0
2025-10,FCamara,BR02CLP00107,LOJAS RENNER S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,121980.36000000007,0.0,0.0
2025-10,FCamara,BR02CLP00112,UNIMED BELO HORIZONTE COOPERATIVA D,Fee,DC001 (Squads),SQUAD_DT,Apps,14427.93,0.0,0.0
2025-10,FCamara,BR02CLP001120,RIMINI STREET BRAZIL SERVICOS DE TE,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,120879.44,0.0,0.0
2025-10,FCamara,BR02CLP00113,SADA TRANSPORTES E ARMAZENAGENS LTD,Fee,DC001 (Squads),SQUAD_DT,Apps,5272.64,0.0,0.0
2025-10,FCamara,BR02CLP00118,LM TRANSPORTES INTERESTADUAIS SERVI,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,51808.67999999999,0.0,0.0
2025-10,FCamara,BR02CLP00120,TOLEDO DO BRASIL INDUSTRIA DE BALAN,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,108143.57999999996,0.0,0.0
2025-10,FCamara,BR02CLP00122,QUIMICA AMPARO LTDA,Referência de Custo - Usage Based,DC002 (Dedicated Teams),SQUAD_DT,Apps,4083.760000000009,0.0,0.0
2025-10,FCamara,BR02CLP00123,"M33 CONSULTORIA, MEDICINA E GESTAO","Fee,WIP",DC002 (Dedicated Teams),SQUAD_DT,Apps,155346.16,0.0,0.0
2025-10,FCamara,BR02CLP00124,DURATEX S.A.,Fee,DC002 (Dedicated Teams),SQUAD_DT,Apps,10455.99,0.0,0.0
2025-10,FCamara,BR02CLP00128,RUMO S.A,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,227988.8,0.0,0.0
2025-10,FCamara,BR02CLP00136,LOJA ELETRICA LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,66854.12999999999,0.0,0.0
2025-10,FCamara,BR02CLP00163,KARINA ALVES DE BRITO,WIP,DC029 (FC Consult. New Rev),INNOVATION,Demais,2274.72,0.0,0.0
2025-10,FCamara,BR02CLP00201,ENCRIPTA S.A.,Referência de Custo - Usage Based,DC037 (Business Unit),BU,Vazio,11108.71000000002,0.0,0.0
2025-10,FCamara,BR02CLP00549,DIAGNOSTICOS DA AMERICA S.A .,WIP,DC003 (Software Factory),SQUAD_DT,Apps,5447.77,0.0,0.0
2025-10,FCamara,BR02CLP006849,GRUPO CASAS BAHIA S.A.,Referência de Custo - Usage Based,DC037 (Business Unit),BU,Vazio,217925.4,0.0,0.0
2025-10,BR03,BR03CLP00001,BARTOFIL DISTRIBUIDORA SA,Referência de Custo - Usage Based,,,,1401.75,,
2025-10,BR03,BR03CLP00002,AMERICANAS S.A - EM RECUPERACAO JUD,Referência de Custo - Usage Based,,,,140175.0,,
2025-10,BR03,BR03CLP00003,AMERICANAS S.A - EM RECUPERACAO JUD,Referência de Custo - Usage Based,,,,70779.03,,
2025-10,BR03,BR03CLP00004,COCAMAR COOPERATIVA AGROINDUSTRIAL,Referência de Custo - Usage Based,,,,1797.57,,
2025-10,BR03,BR03CLP00013,WEHOUSE SERVICOS DIGITAIS LTDA.,Referência de Custo - Usage Based,,,,13883.89,,
2025-10,BR03,BR03CLP00015,MARISA LOJAS S.A.,Referência de Custo - Usage Based,,,,22336.63,,
2025-10,BR03,BR03CLP00016,MARISA LOJAS S.A.,Referência de Custo - Usage Based,,,,8730.1,,
2025-10,BR03,BR03CLP00017,CSB DROGARIAS S/A,Referência de Custo - Usage Based,,,,13712.95,,
2025-10,BR03,BR03CLP00018,CSB DROGARIAS S/A,Referência de Custo - Usage Based,,,,9812.25,,
2025-10,BR03,BR03CLP00019,NOIVAH LTDA,Referência de Custo - Usage Based,,,,1869.0,,
2025-10,BR03,BR03CLP00020,PETSUPERMARKET COMERCIO DE PRODUTOS,Referência de Custo - Usage Based,,,,12055.05,,
2025-10,BR03,BR03CLP00021,ROUPARTILHAR COMERCIO DE ARTIGOS DE,Referência de Custo - Usage Based,,,,1869.0,,
2025-10,BR03,BR03CLP00023,E-CLIK SERVICOS DIGITAIS LTDA,Referência de Custo - Usage Based,,,,15699.6,,
2025-10,BR03,BR03CLP00024,E-CLIK SERVICOS DIGITAIS LTDA,Referência de Custo - Usage Based,,,,9158.1,,
2025-10,BR03,BR03CLP00026,BARRACRED - COOPERATIVA DE ECONOMIA,Referência de Custo - Usage Based,,,,6448.05,,
2025-10,BR03,BR03CLP00030,ARTHUR LUNDGREN TECIDOS S A CASAS P,Referência de Custo - Usage Based,,,,9319.28,,
2025-10,BR03,BR03CLP00031,HIPER CARIJOS LTDA.,Referência de Custo - Usage Based,,,,9158.1,,
2025-10,BR03,BR03CLP00032,DROGARIA SAO PAULO S.A.,Referência de Custo - Usage Based,,,,14017.5,,
2025-10,BR03,BR03CLP00033,"EMPRESA NACIONAL DOS COMERCIANTES,",Referência de Custo - Usage Based,,,,4672.5,,
2025-10,BR03,BR03CLP00034,DIMED S/A - DISTRIBUIDORA DE MEDICA,Referência de Custo - Usage Based,,,,4672.5,,
2025-10,BR03,BR03CLP00040,STEALS TECNOLOGIA E INTERMEDIACAO D,Referência de Custo - Usage Based,,,,3738.0,,
2025-10,BR03,BR03CLP00041,DURATEX S.A.,Referência de Custo - Usage Based,,,,16821.0,,
2025-10,BR03,BR03CLP00042,SINGER DO BRASIL INDUSTRIA E COMERC,Referência de Custo - Usage Based,,,,6541.5,,
2025-10,BR03,BR03CLP00043,EMPREENDIMENTOS PAGUE MENOS S/A,Referência de Custo - Usage Based,,,,15706.73,,
2025-10,BR03,BR03CLP00044,TOTVS S.A.,Referência de Custo - Usage Based,,,,10330.4,,
2025-10,BR03,BR03CLP00045,TOTVS S.A.,Referência de Custo - Usage Based,,,,7417.96,,
2025-10,BR03,BR03CLP00046,TOTVS TECNOLOGIA EM SOFTWARE DE GES,Referência de Custo - Usage Based,,,,2803.52,,
2025-10,BR03,BR03CLP00052,ARKA SHOP LTDA,Referência de Custo - Usage Based,,,,7476.0,,
2025-10,BR03,BR03CLP00054,ELETROTRAFO PRODUTOS ELETRICOS LTDA,Referência de Custo - Usage Based,DC023 (Marketplace),MKTPLACE,Vazio,4204.32,0.0,0.0
2025-10,BR03,BR03CLP00056,SELIA - SERVICOS DE GESTAO EMPRESAR,Referência de Custo - Usage Based,,,,23362.5,,
2025-10,BR03,BR03CLP00057,ALMEIDA COMERCIO DISTRIBUIDOR DE MA,Referência de Custo - Usage Based,,,,23362.5,,
2025-10,BR04,BR04CLP00004,ACO CEARENSE INDUSTRIAL LTDA,Fee,,,,22908.23,,
2025-10,BR04,BR04CLP00010,COR BRASIL INDUSTRIA E COMERCIO S/A,Fee,DC019 (Performance),DIGITALMKT,Demais,2987.2,0.0,0.0
2025-10,BR04,BR04CLP00018,A.W. FABER CASTELL S.A.,Fee,DC021 (CRM),DIGITALMKT,Demais,2529.7800000000007,0.0,0.0
2025-10,BR04,BR04CLP00030,DESCARPACK DESCARTAVEIS DO BRASIL L,Fee,,,,18670.0,,
2025-10,BR04,BR04CLP00031,SURYA DENTAL COMERCIO DE PRODUTOS O,Fee,,,,3267.25,,
2025-10,BR04,BR04CLP00034,JADLOG LOGISTICA S.A,Fee,,,,18429.68,,
2025-10,BR04,BR04CLP00045,NVIDIA BRASIL COMPUTACAO VISUAL LTD,Fee,DC019 (Performance),DIGITALMKT,Demais,35050.1,0.0,0.0
2025-10,BR04,BR04CLP00050,TRAMONTINA STORE COMERCIO VAREJISTA,Taxa hora - Time and Expenses,DC018 (Creative),DIGITALMKT,Demais,4259.99,0.0,0.0
2025-10,BR04,BR04CLP00055,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,DC021 (CRM),DIGITALMKT,Demais,5601.0,0.0,0.0
2025-10,BR04,BR04CLP00061,JADLOG LOGISTICA S.A,Referência de Custo - Usage Based,,,,39173.72,,
2025-10,BR04,BR04CLP00074,USE SISTEMAS E APLICATIVOS LTDA,Fee,DC021 (CRM),DIGITALMKT,Demais,5040.9,0.0,0.0
2025-10,BR04,BR04CLP00080,ZOHO CORPORATION BRASIL TECNOLOGIA,Referência de Custo - Usage Based,DC020 (Social & Content),DIGITALMKT,Demais,3155.29,0.0,0.0
2025-10,BR04,BR04CLP00090,FCAMARA CONSULTORIA E FORMACAO EM I,Referência de Custo - Usage Based,,,,11202.0,,
2025-10,BR04,BR04CLP00092,FCAMARA CONSULTORIA E FORMACAO EM I,Referência de Custo - Usage Based,,,,6317.77,,
2025-10,BR04,BR04CLP00097,SPECIAL SAUDE PRODUTOS E SERVICOS L,Referência de Custo - Usage Based,DC021 (CRM),DIGITALMKT,Demais,184.02,0.0,0.0
2025-10,BR04,BR04CLP00100,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,,,,16971.03,,
2025-10,BR04,BR04CLP00103,FOUR PIXEL TECNOLOGIA DA INFORMACAO,Fee,DC021 (CRM),DIGITALMKT,Demais,1554.2800000000009,0.0,0.0
2025-10,BR04,BR04CLP00105,I DON FRANCESCO LATICINIOS LTDA.,Fee,,,,22249.68,,
2025-10,BR04,BR04CLP00107,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,,,,39750.3,,
2025-10,BR04,BR04CLP00113,EDITORA MELHORAMENTOS LTDA.,Fee,,,,3649.98,,
2025-10,BR05,BR05CLP0000096,MIP ENGENHARIA LTDA,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,19902.76,0.0,0.0
2025-10,BR05,BR05CLP000011,FORTALEZA DE SANTA TERESINHA AGRICU,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,5431.1,0.0,0.0
2025-10,BR05,BR05CLP000013,BRAMEX COMERCIO E SERVICOS LTDA,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,27029.74,0.0,0.0
2025-10,BR05,BR05CLP000019,CEMIG SAUDE,Fee,DC033 (Security),CLOUD,Cloud/Cyber,13825.98,0.0,0.0
2025-10,BR05,BR05CLP00002,AEC CENTRO DE CONTATOS SA,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,11874.18,0.0,0.0
2025-10,BR05,BR05CLP000020,CEMIG SAUDE,Fee,DC032 (Data & AI (SGA)),CLOUD,Cloud/Cyber,13675.1,0.0,0.0
2025-10,BR05,BR05CLP000021,CEMIG SAUDE,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,27759.82,0.0,0.0
2025-10,BR05,BR05CLP000023,CEVA VETERINARIA LTDA,Fee,DC030 (Dig. & App Innov.),CLOUD,Cloud/Cyber,2086.95,0.0,0.0
2025-10,BR05,BR05CLP000025,COOPERCARGA S/A,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,20459.99,0.0,0.0
2025-10,BR05,BR05CLP000029,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,DC037 (Business Unit),BU,Vazio,2087.26,0.0,0.0
2025-10,BR05,BR05CLP00003,AB COMERCIO DE VEICULOS LTDA,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,6531.96,0.0,0.0
2025-10,BR05,BR05CLP000030,MINERACAO CARAIBA S.A.,Fee,DC032 (Data & AI (SGA)),CLOUD,Cloud/Cyber,3408.49,0.0,0.0
2025-10,BR05,BR05CLP000031,COMERCIAL MINEIRA S A,Fee,DC037 (Business Unit),BU,Vazio,18470.39,0.0,0.0
2025-10,BR05,BR05CLP000033,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,4501.01,0.0,0.0
2025-10,BR05,BR05CLP000034,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,7246.29,0.0,0.0
2025-10,BR05,BR05CLP000035,FCAMARA CONSULTORIA E FORMACAO EM I,Fee,DC030 (Dig. & App Innov.),CLOUD,Cloud/Cyber,1789.5,0.0,0.0
2025-10,BR05,BR05CLP000039,GAUSTEC INDUSTRIA E MANUTENÇÃO EM E,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,3262.8400000000006,0.0,0.0
2025-10,BR05,BR05CLP00004,AETHRA SISTEMAS AUTOMOTIVOS S.A.,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,7188.789999999998,0.0,0.0
2025-10,BR05,BR05CLP000040,GCOM - GESTAO EM TECNOLOGIA DE INFO,Fee,DC030 (Dig. & App Innov.),CLOUD,Cloud/Cyber,2599.68,0.0,0.0
2025-10,BR05,BR05CLP000044,BY MOTO LTDA,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,3468.37,0.0,0.0
2025-10,BR05,BR05CLP000046,BRAMEX COMERCIO E SERVICOS LTDA,Fee,DC030 (Dig. & App Innov.),CLOUD,Cloud/Cyber,3284.75,0.0,0.0
2025-10,BR05,BR05CLP000047,BRAMEX COMERCIO E SERVICOS LTDA,Fee,DC031 (Infrastructure),CLOUD,Cloud/Cyber,14113.22,0.0,0.0
2025-10,BR05,BR05CLP000049,GVC GERACAO DE VALOR EM COBRANCA LT,WIP,DC030 (Dig. & App Innov.),CLOUD,Cloud/Cyber,-1010.3,0.0,0.0
2025-10,BR05,BR05CLP00005,AFYA PARTICIPACOES S.A,Fee,DC032 (Data & AI (SGA)),CLOUD,Cloud/Cyber,25605.18,0.0,0.0
