periodo,empresa,pep,nome_cliente,tipo,centro_lucro,no_hierarquia,categoria_bu,valor_liquido
2025-10,BR02,BR02CLP00050.0.1,DIAGNOSTICOS DA AMERICA S.A .,WIP,DC001 (Squads),SQUAD_DT,Apps,-153436.56000000006
2025-11,BR02,BR02CLP00050.0.1,DIAGNOSTICOS DA AMERICA S.A .,WIP,DC001 (Squads),SQUAD_DT,Apps,78118.18000000002
2025-12,BR02,BR02CLP00050.0.1,DIAGNOSTICOS DA AMERICA S.A .,WIP,DC001 (Squads),SQUAD_DT,Apps,67229.95999999996
2025-10,BR02,BR02LIC0002.0.1,IBM BRASIL-INDUSTRIA MAQUINAS E SER,Referência de Custo - Usage Based,DC009 (Licensing Hyper),LICENSING,Vazio,102843.56999999999
2025-11,BR02,BR02LIC0002.0.1,IBM BRASIL-INDUSTRIA MAQUINAS E SER,Referência de Custo - Usage Based,DC009 (Licensing Hyper),LICENSING,Vazio,215048.68000000005
2025-12,BR02,BR02LIC0002.0.1,IBM BRASIL-INDUSTRIA MAQUINAS E SER,Referência de Custo - Usage Based,DC009 (Licensing Hyper),LICENSING,Vazio,144595.24
2025-10,BR02,BR02LIC0003.0.1,TD SYNNEX BRASIL LTDA,Referência de Custo - Usage Based,DC009 (Licensing Hyper),LICENSING,Vazio,139062.89
2025-10,BR02,BR02CLP00022.0.1,DR. CONSULTA CENTRO MEDICO LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,430744.01999999786
2025-11,BR02,BR02CLP00022.0.1,DR. CONSULTA CENTRO MEDICO LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,389315.5399999999
2025-12,BR02,BR02CLP00022.0.1,DR. CONSULTA CENTRO MEDICO LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,375691.10000000027
2025-10,BR02,BR02CLP00004.0.1,TRAVELEX BANCO DE CAMBIO S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,436774.0099999992
2025-11,BR02,BR02CLP00004.0.1,TRAVELEX BANCO DE CAMBIO S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,364506.81000000006
2025-12,BR02,BR02CLP00004.0.1,TRAVELEX BANCO DE CAMBIO S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,333256.67999999947
2025-10,BR02,BR02CLP00122.0.1,QUIMICA AMPARO LTDA,Referência de Custo - Usage Based,DC002 (Dedicated Teams),SQUAD_DT,Apps,4083.7600000000093
2025-11,BR02,BR02CLP00122.0.1,QUIMICA AMPARO LTDA,Referência de Custo - Usage Based,DC002 (Dedicated Teams),SQUAD_DT,Apps,4083.76
2025-12,BR02,BR02CLP00122.0.1,QUIMICA AMPARO LTDA,Referência de Custo - Usage Based,DC002 (Dedicated Teams),SQUAD_DT,Apps,4083.76
2025-10,BR02,BR02CLP00007.0.1,BANCO DIGIO S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,87605.33999999998
2025-11,BR02,BR02CLP00007.0.1,BANCO DIGIO S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,114144.11000000002
2025-12,BR02,BR02CLP00007.0.1,BANCO DIGIO S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,114005.27000000003
2025-10,BR02,BR02CLP00030.0.2,MRV ENGENHARIA E PARTICIPACOES SA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,1207924.4300000006
2025-11,BR02,BR02CLP00030.0.2,MRV ENGENHARIA E PARTICIPACOES SA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,993453.1200000003
2025-12,BR02,BR02CLP00030.0.2,MRV ENGENHARIA E PARTICIPACOES SA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,1062859.3199999994
2025-10,BR02,BR02CLP00106.0.1,COOPERATIVA CENTRAL DOS PRODUTORES,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,272241.82000000007
2025-11,BR02,BR02CLP00106.0.1,COOPERATIVA CENTRAL DOS PRODUTORES,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,258156.7
2025-12,BR02,BR02CLP00106.0.1,COOPERATIVA CENTRAL DOS PRODUTORES,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,290599.55000000005
2025-10,BR02,BR02CLP00053.0.1,VLI MULTIMODAL S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,181270.16
2025-11,BR02,BR02CLP00053.0.1,VLI MULTIMODAL S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,183040.31
2025-12,BR02,BR02CLP00053.0.1,VLI MULTIMODAL S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,174187.66
2025-10,BR02,BR02CLP00019.0.1,VR BENEFICIOS E SERVICOS DE PROCESS,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,110561.44
2025-11,BR02,BR02CLP00019.0.1,VR BENEFICIOS E SERVICOS DE PROCESS,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,107542.19000000002
2025-12,BR02,BR02CLP00019.0.1,VR BENEFICIOS E SERVICOS DE PROCESS,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,107542.25999999998
2025-10,BR02,BR02CLP00018.0.1,TOO SEGUROS S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,7469.870000000001
2025-11,BR02,BR02CLP00018.0.1,TOO SEGUROS S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,5691.33
2025-12,BR02,BR02CLP00018.0.1,TOO SEGUROS S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,7469.869999999999
2025-10,BR02,BR02CLP00049.0.1,IPSOS BRASIL PESQUISAS DE MERCADO L,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,279309.18999999977
2025-11,BR02,BR02CLP00049.0.1,IPSOS BRASIL PESQUISAS DE MERCADO L,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,288056.1100000001
2025-12,BR02,BR02CLP00049.0.1,IPSOS BRASIL PESQUISAS DE MERCADO L,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,289999.8699999998
2025-10,BR02,BR02CLP000130.0.1,COBASI COMERCIO DE PROD BASICOS E I,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,31865.479999999996
2025-11,BR02,BR02CLP000130.0.1,COBASI COMERCIO DE PROD BASICOS E I,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,31865.48000000002
2025-12,BR02,BR02CLP000130.0.1,COBASI COMERCIO DE PROD BASICOS E I,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,75529.20999999999
2025-10,BR02,BR02CLP00055.0.1,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,70946.56999999995
2025-11,BR02,BR02CLP00055.0.1,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,70946.56999999999
2025-12,BR02,BR02CLP00055.0.1,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,58097.20000000001
2025-10,BR02,BR02CLP00021.0.1,UNIMED DO ESTADO DE SAO PAULO - FED,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,376349.62000000133
2025-11,BR02,BR02CLP00021.0.1,UNIMED DO ESTADO DE SAO PAULO - FED,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,354014.76999999967
2025-12,BR02,BR02CLP00021.0.1,UNIMED DO ESTADO DE SAO PAULO - FED,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,352786.82999999967
2025-10,BR02,BR02CLP00003.0.1,COOP - COOPERATIVA DE CONSUMO,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,127655.5699999999
2025-11,BR02,BR02CLP00003.0.1,COOP - COOPERATIVA DE CONSUMO,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,142433.0500000001
2025-12,BR02,BR02CLP00003.0.1,COOP - COOPERATIVA DE CONSUMO,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,142433.04999999993
2025-10,BR02,BR02CLP00141.0.1,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,57719.58000000001
2025-11,BR02,BR02CLP00141.0.1,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,57719.57999999999
2025-12,BR02,BR02CLP00141.0.1,INTELIPOST CONSULTORIA E TECNOLOGIA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,57719.579999999994
2025-10,BR02,BR02CLP00040.0.1,FARFETCH.COM BRASIL SERVICOS LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,29132.85
2025-11,BR02,BR02CLP00040.0.1,FARFETCH.COM BRASIL SERVICOS LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,28079.86
2025-12,BR02,BR02CLP00040.0.1,FARFETCH.COM BRASIL SERVICOS LTDA,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,28079.86
2025-10,BR02,BR02CLP00044.0.1,DIAGNOSTICOS DA AMERICA S.A .,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,21194.46
2025-11,BR02,BR02CLP00044.0.1,DIAGNOSTICOS DA AMERICA S.A .,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,21194.46
2025-12,BR02,BR02CLP00044.0.1,DIAGNOSTICOS DA AMERICA S.A .,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,21194.459999999995
2025-10,BR02,BR02CLP00107.0.1,LOJAS RENNER S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,121980.36000000007
2025-11,BR02,BR02CLP00107.0.1,LOJAS RENNER S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,121980.36000000004
2025-12,BR02,BR02CLP00107.0.1,LOJAS RENNER S.A.,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,131728.32000000007
2025-10,BR02,BR02CLP00118.0.1,LM TRANSPORTES INTERESTADUAIS SERVI,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,51808.67999999999
2025-11,BR02,BR02CLP00118.0.1,LM TRANSPORTES INTERESTADUAIS SERVI,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,51808.68
2025-12,BR02,BR02CLP00118.0.1,LM TRANSPORTES INTERESTADUAIS SERVI,Taxa hora - Time and Expenses,DC002 (Dedicated Teams),SQUAD_DT,Apps,51808.679999999986
