CompanyCode,agrupador_fpa,FiscalPeriod,vertical,ProfitCenter,AmountInCompanyCodeCurrency
BR01,Consulting expenses,1,,DC037,127495.91
BR01,Consulting expenses,9,,DC037,13521.119999999999
BR01,Consulting expenses,10,,DC037,31179.0
BR01,Depreciation and amortization,1,,DC037,177856.0
BR01,Depreciation and amortization,5,,DC037,284958.76
BR01,Depreciation and amortization,6,,DC037,55579.0
BR01,Depreciation and amortization,7,,DC037,55580.0
BR01,Depreciation and amortization,8,,DC037,1033798.1
BR01,Depreciation and amortization,9,,DC037,177856.0
BR01,Depreciation and amortization,10,,DC037,177858.0
BR01,Depreciation and amortization,11,,DC037,177857.0
BR01,Depreciation and amortization,12,,DC037,177857.0
BR01,Financial income (expenses) net,1,,DC037,3534801.5300000003
BR01,Financial income (expenses) net,2,,DC037,871.06
BR01,Financial income (expenses) net,5,,DC037,8074372.640000001
BR01,Financial income (expenses) net,6,,DC037,3107596.9299999997
BR01,Financial income (expenses) net,7,,DC037,1433239.5399999996
BR01,Financial income (expenses) net,8,,DC037,1258847.5999999999
BR01,Financial income (expenses) net,9,,DC037,4796142.34
BR01,Financial income (expenses) net,10,,DC037,4038353.16
BR01,Financial income (expenses) net,11,,DC037,3456731.45
BR01,Financial income (expenses) net,12,,DC037,3784711.41
BR01,General and administrative expenses,1,,DC037,118508.14000000001
BR01,General and administrative expenses,5,,DC037,47288.92
BR01,General and administrative expenses,6,,DC037,10069.85
BR01,General and administrative expenses,7,,DC037,10069.85
BR01,General and administrative expenses,8,,DC037,14066.09
BR01,General and administrative expenses,9,,DC037,14406.39
BR01,General and administrative expenses,10,,DC037,15605.359999999999
BR01,General and administrative expenses,11,,DC037,19793.890000000007
BR01,General and administrative expenses,12,,DC037,14553.789999999999
BR01,Non-operating income (expenses) net,5,,DC037,24653084.540000003
BR01,Non-operating income (expenses) net,6,,DC037,2433280.85
BR01,Non-operating income (expenses) net,7,,DC037,342553.9500000001
BR01,Non-operating income (expenses) net,8,,DC037,-285596.73
BR01,Non-operating income (expenses) net,9,,DC037,1871945.8699999999
BR01,Non-operating income (expenses) net,10,,DC037,1870980.9999999998
BR01,Non-operating income (expenses) net,11,,DC037,3929410.92
BR01,Non-operating income (expenses) net,12,,DC037,-7098965.79
BR01,Other operating income (expenses) net,5,,DC037,-0.09
BR01,Other operating income (expenses) net,6,,DC037,-466957.65
BR01,Other operating income (expenses) net,11,,DC037,-7572.57
BR01,Tax expenses,5,,DC037,385.26
BR01,Tax expenses,7,,DC037,226.68
